universe,portfolio,strategy,weighting,rebalance_months,tc_bps,growth_multiple,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,avg_turnover_pct,avg_long_stocks,avg_short_stocks,last_long_stocks,last_short_stocks,months,monthly_rebalance_ann_return,monthly_rebalance_sharpe,monthly_rebalance_max_dd,monthly_rebalance_growth,ann_return_minus_monthly,sharpe_minus_monthly,max_dd_minus_monthly,growth_vs_monthly
all,HML value-minus-growth,long_short,vw,1,50,1.824,2.69,17.37,0.238,-72.6,25.1,500.7,497.3,814,821,272,2.69,0.238,-72.6,1.824,0.0,0.0,0.0,1.0
all,HML value-minus-growth,long_short,vw,1,100,1.3087,1.19,17.38,0.154,-76.13,25.1,500.7,497.3,814,821,272,1.19,0.154,-76.13,1.3087,0.0,0.0,0.0,1.0
all,HML value-minus-growth,long_short,vw,2,0,2.3909,3.92,17.66,0.305,-69.11,21.8,501.0,497.6,811,822,272,4.19,0.322,-68.86,2.5374,-0.27000000000000046,-0.017000000000000015,-0.25,0.9422637345314101
all,HML value-minus-growth,long_short,vw,2,10,2.2589,3.66,17.65,0.291,-69.76,21.8,501.0,497.6,811,822,272,3.89,0.305,-69.62,2.3756,-0.22999999999999998,-0.014000000000000012,-0.14000000000000057,0.9508755682774879
all,HML value-minus-growth,long_short,vw,2,20,2.134,3.4,17.64,0.276,-70.46,21.8,501.0,497.6,811,822,272,3.59,0.288,-70.36,2.224,-0.18999999999999995,-0.011999999999999955,-0.09999999999999432,0.9595323741007193
all,HML value-minus-growth,long_short,vw,2,50,1.7983,2.62,17.62,0.233,-72.51,21.8,501.0,497.6,811,822,272,2.69,0.238,-72.6,1.824,-0.06999999999999984,-0.004999999999999977,0.0899999999999892,0.9859100877192982
all,HML value-minus-growth,long_short,vw,2,100,1.3499,1.33,17.63,0.162,-75.63,21.8,501.0,497.6,811,822,272,1.19,0.154,-76.13,1.3087,0.14000000000000012,0.008000000000000007,0.5,1.0314816229846413
all,HML value-minus-growth,long_short,vw,3,0,2.845,4.72,17.89,0.346,-68.47,21.1,501.1,498.0,811,822,272,4.19,0.322,-68.86,2.5374,0.5299999999999994,0.023999999999999966,0.39000000000000057,1.1212264522739814
all,HML value-minus-growth,long_short,vw,3,10,2.6935,4.47,17.87,0.333,-69.08,21.1,501.1,498.0,811,822,272,3.89,0.305,-69.62,2.3756,0.5799999999999996,0.028000000000000025,0.5400000000000063,1.133818824717966
all,HML value-minus-growth,long_short,vw,3,20,2.5499,4.22,17.86,0.319,-69.69,21.1,501.1,498.0,811,822,272,3.59,0.288,-70.36,2.224,0.6299999999999999,0.031000000000000028,0.6700000000000017,1.1465377697841725
all,HML value-minus-growth,long_short,vw,3,50,2.1623,3.46,17.85,0.278,-71.45,21.1,501.1,498.0,811,822,272,2.69,0.238,-72.6,1.824,0.77,0.040000000000000036,1.1499999999999915,1.1854714912280702
all,HML value-minus-growth,long_short,vw,3,100,1.6401,2.21,17.85,0.21,-74.28,21.1,501.1,498.0,811,822,272,1.19,0.154,-76.13,1.3087,1.02,0.055999999999999994,1.8499999999999943,1.253228394590051
all,HML value-minus-growth,long_short,vw,4,0,2.4365,4.01,18.19,0.306,-69.64,19.6,502.0,498.6,899,886,272,4.19,0.322,-68.86,2.5374,-0.1800000000000006,-0.016000000000000014,-0.7800000000000011,0.960234886103886
all,HML value-minus-growth,long_short,vw,4,10,2.3154,3.77,18.19,0.293,-70.29,19.6,502.0,498.6,899,886,272,3.89,0.305,-69.62,2.3756,-0.1200000000000001,-0.01200000000000001,-0.6700000000000017,0.9746590335073244
all,HML value-minus-growth,long_short,vw,4,20,2.2001,3.54,18.18,0.281,-70.92,19.6,502.0,498.6,899,886,272,3.59,0.288,-70.36,2.224,-0.04999999999999982,-0.006999999999999951,-0.5600000000000023,0.9892535971223021
all,HML value-minus-growth,long_short,vw,4,50,1.8865,2.84,18.18,0.243,-72.74,19.6,502.0,498.6,899,886,272,2.69,0.238,-72.6,1.824,0.1499999999999999,0.0050000000000000044,-0.14000000000000057,1.034265350877193
all,HML value-minus-growth,long_short,vw,4,100,1.4576,1.68,18.22,0.181,-76.06,19.6,502.0,498.6,899,886,272,1.19,0.154,-76.13,1.3087,0.49,0.026999999999999996,0.06999999999999318,1.1137770306410943
all,HML value-minus-growth,long_short,vw,5,0,1.9052,2.88,18.18,0.246,-75.14,19.9,493.6,491.9,811,822,272,4.19,0.322,-68.86,2.5374,-1.3100000000000005,-0.07600000000000001,-6.280000000000001,0.7508473240324742
all,HML value-minus-growth,long_short,vw,5,10,1.8085,2.65,18.18,0.233,-75.68,19.9,493.6,491.9,811,822,272,3.89,0.305,-69.62,2.3756,-1.2400000000000002,-0.07199999999999998,-6.060000000000002,0.7612813604984005
all,HML value-minus-growth,long_short,vw,5,20,1.7165,2.41,18.18,0.221,-76.21,19.9,493.6,491.9,811,822,272,3.59,0.288,-70.36,2.224,-1.1799999999999997,-0.06699999999999998,-5.849999999999994,0.7718075539568344
all,HML value-minus-growth,long_short,vw,5,50,1.4669,1.7,18.2,0.182,-78.57,19.9,493.6,491.9,811,822,272,2.69,0.238,-72.6,1.824,-0.99,-0.055999999999999994,-5.969999999999999,0.8042214912280702
all,HML value-minus-growth,long_short,vw,5,100,1.1268,0.53,18.28,0.119,-82.4,19.9,493.6,491.9,811,822,272,1.19,0.154,-76.13,1.3087,-0.6599999999999999,-0.035,-6.27000000000001,0.8610071062886835
all,HML value-minus-growth,long_short,vw,6,0,2.6809,4.45,18.98,0.323,-71.06,18.8,502.0,498.8,811,822,272,4.19,0.322,-68.86,2.5374,0.2599999999999998,0.0010000000000000009,-2.200000000000003,1.0565539528651375
all,HML value-minus-growth,long_short,vw,6,10,2.5537,4.22,18.97,0.311,-71.57,18.8,502.0,498.8,811,822,272,3.89,0.305,-69.62,2.3756,0.3299999999999996,0.006000000000000005,-1.9499999999999886,1.0749705337598923
all,HML value-minus-growth,long_short,vw,6,20,2.4323,4.0,18.96,0.3,-72.07,18.8,502.0,498.8,811,822,272,3.59,0.288,-70.36,2.224,0.41000000000000014,0.01200000000000001,-1.7099999999999937,1.093660071942446
all,HML value-minus-growth,long_short,vw,6,50,2.1005,3.33,18.94,0.266,-73.53,18.8,502.0,498.8,811,822,272,2.69,0.238,-72.6,1.824,0.6400000000000001,0.028000000000000025,-0.9300000000000068,1.1515899122807016
all,HML value-minus-growth,long_short,vw,6,100,1.642,2.21,18.95,0.208,-75.99,18.8,502.0,498.8,811,822,272,1.19,0.154,-76.13,1.3087,1.02,0.05399999999999999,0.14000000000000057,1.2546802170092457
all,HML value-minus-growth,long_short,vw,7,0,2.3604,3.86,17.67,0.302,-77.32,18.4,491.8,491.2,904,892,272,4.19,0.322,-68.86,2.5374,-0.3300000000000005,-0.020000000000000018,-8.459999999999994,0.9302435563963112
all,HML value-minus-growth,long_short,vw,7,10,2.2498,3.64,17.67,0.29,-77.77,18.4,491.8,491.2,904,892,272,3.89,0.305,-69.62,2.3756,-0.25,-0.015000000000000013,-8.149999999999991,0.9470449570634787
all,HML value-minus-growth,long_short,vw,7,20,2.1442,3.42,17.67,0.278,-78.22,18.4,491.8,491.2,904,892,272,3.59,0.288,-70.36,2.224,-0.16999999999999993,-0.009999999999999953,-7.859999999999999,0.9641187050359712
all,HML value-minus-growth,long_short,vw,7,50,1.855,2.76,17.69,0.241,-79.5,18.4,491.8,491.2,904,892,272,2.69,0.238,-72.6,1.824,0.06999999999999984,0.0030000000000000027,-6.900000000000006,1.0169956140350878
all,HML value-minus-growth,long_short,vw,7,100,1.4543,1.67,17.75,0.181,-81.5,18.4,491.8,491.2,904,892,272,1.19,0.154,-76.13,1.3087,0.48,0.026999999999999996,-5.3700000000000045,1.1112554443340719
all,HML value-minus-growth,long_short,vw,8,0,2.5873,4.28,19.11,0.314,-74.49,18.1,496.1,494.5,904,893,272,4.19,0.322,-68.86,2.5374,0.08999999999999986,-0.008000000000000007,-5.6299999999999955,1.019665799637424
all,HML value-minus-growth,long_short,vw,8,10,2.4666,4.06,19.13,0.303,-75.02,18.1,496.1,494.5,904,893,272,3.89,0.305,-69.62,2.3756,0.16999999999999948,-0.0020000000000000018,-5.3999999999999915,1.038306112140091
all,HML value-minus-growth,long_short,vw,8,20,2.3514,3.84,19.14,0.291,-75.54,18.1,496.1,494.5,904,893,272,3.59,0.288,-70.36,2.224,0.25,0.0030000000000000027,-5.180000000000007,1.0572841726618705
all,HML value-minus-growth,long_short,vw,8,50,2.0356,3.19,19.21,0.258,-77.05,18.1,496.1,494.5,904,893,272,2.69,0.238,-72.6,1.824,0.5,0.020000000000000018,-4.450000000000003,1.1160087719298246
all,HML value-minus-growth,long_short,vw,8,100,1.5973,2.09,19.37,0.202,-79.37,18.1,496.1,494.5,904,893,272,1.19,0.154,-76.13,1.3087,0.8999999999999999,0.048000000000000015,-3.240000000000009,1.2205241843050356
all,HML value-minus-growth,long_short,vw,9,0,2.3383,3.82,18.64,0.293,-76.51,17.7,492.3,487.2,811,822,272,4.19,0.322,-68.86,2.5374,-0.37000000000000055,-0.029000000000000026,-7.650000000000006,0.9215338535508788
all,HML value-minus-growth,long_short,vw,9,10,2.2335,3.61,18.63,0.282,-77.11,17.7,492.3,487.2,811,822,272,3.89,0.305,-69.62,2.3756,-0.28000000000000025,-0.02300000000000002,-7.489999999999995,0.9401835325812425
all,HML value-minus-growth,long_short,vw,9,20,2.1333,3.4,18.63,0.272,-77.71,17.7,492.3,487.2,811,822,272,3.59,0.288,-70.36,2.224,-0.18999999999999995,-0.01599999999999996,-7.349999999999994,0.9592176258992806
all,HML value-minus-growth,long_short,vw,9,50,1.8575,2.77,18.62,0.239,-79.4,17.7,492.3,487.2,811,822,272,2.69,0.238,-72.6,1.824,0.08000000000000007,0.0010000000000000009,-6.800000000000011,1.0183662280701753
all,HML value-minus-growth,long_short,vw,9,100,1.4716,1.72,18.66,0.184,-81.96,17.7,492.3,487.2,811,822,272,1.19,0.154,-76.13,1.3087,0.53,0.03,-5.829999999999998,1.1244746695193704
all,HML value-minus-growth,long_short,vw,10,0,3.4758,5.65,18.38,0.39,-75.29,16.9,491.7,485.4,811,822,272,4.19,0.322,-68.86,2.5374,1.46,0.068,-6.430000000000007,1.369827382359896
all,HML value-minus-growth,long_short,vw,10,10,3.3278,5.45,18.38,0.379,-75.78,16.9,491.7,485.4,811,822,272,3.89,0.305,-69.62,2.3756,1.56,0.07400000000000001,-6.159999999999997,1.4008250547230174
all,HML value-minus-growth,long_short,vw,10,20,3.1858,5.24,18.37,0.369,-76.26,16.9,491.7,485.4,811,822,272,3.59,0.288,-70.36,2.224,1.6500000000000004,0.08100000000000002,-5.900000000000006,1.4324640287769783
all,HML value-minus-growth,long_short,vw,10,50,2.7935,4.64,18.38,0.337,-77.66,16.9,491.7,485.4,811,822,272,2.69,0.238,-72.6,1.824,1.9499999999999997,0.09900000000000003,-5.060000000000002,1.5315241228070173
all,HML value-minus-growth,long_short,vw,10,100,2.24,3.62,18.42,0.284,-79.82,16.9,491.7,485.4,811,822,272,1.19,0.154,-76.13,1.3087,2.43,0.12999999999999998,-3.6899999999999977,1.7116222205241844
all,HML value-minus-growth,long_short,vw,11,0,2.9675,4.92,19.48,0.342,-73.84,16.9,483.7,481.1,904,893,272,4.19,0.322,-68.86,2.5374,0.7299999999999995,0.020000000000000018,-4.980000000000004,1.1695042169149523
all,HML value-minus-growth,long_short,vw,11,10,2.8414,4.71,19.47,0.333,-74.3,16.9,483.7,481.1,904,893,272,3.89,0.305,-69.62,2.3756,0.8199999999999998,0.028000000000000025,-4.679999999999993,1.1960767806027952
all,HML value-minus-growth,long_short,vw,11,20,2.7204,4.51,19.46,0.323,-74.76,16.9,483.7,481.1,904,893,272,3.59,0.288,-70.36,2.224,0.9199999999999999,0.03500000000000003,-4.400000000000006,1.2232014388489207
all,HML value-minus-growth,long_short,vw,11,50,2.386,3.91,19.44,0.293,-76.08,16.9,483.7,481.1,904,893,272,2.69,0.238,-72.6,1.824,1.2200000000000002,0.05499999999999999,-3.480000000000004,1.3081140350877194
all,HML value-minus-growth,long_short,vw,11,100,1.9137,2.9,19.46,0.243,-78.15,16.9,483.7,481.1,904,893,272,1.19,0.154,-76.13,1.3087,1.71,0.089,-2.0200000000000102,1.4622908229540765
all,HML value-minus-growth,long_short,vw,12,0,3.5584,5.76,19.47,0.384,-70.46,16.6,504.1,500.9,904,893,272,4.19,0.322,-68.86,2.5374,1.5699999999999994,0.062,-1.5999999999999943,1.4023803893749507
all,HML value-minus-growth,long_short,vw,12,10,3.4099,5.56,19.46,0.374,-70.99,16.6,504.1,500.9,904,893,272,3.89,0.305,-69.62,2.3756,1.6699999999999995,0.069,-1.3699999999999903,1.43538474490655
