Month,BH,BL,BN,SH,SL,SN,BAV,BAV_big,BAV_small
2002-05,-0.04816907343446721,-0.0556940827552161,-0.04892425373240579,-0.03897749999748001,0.008886284280531717,-0.035423412237832415,0.02016938747863142,-0.007525009320748885,0.047863784278011724
2002-06,0.00294821028775851,0.04722140735632077,0.00807332539436172,0.05024342533069736,0.09709614612609056,0.13844692778830578,0.045562958931977725,0.04427319706856226,0.0468527207953932
2002-07,-0.10302592407566166,-0.05953664302733274,-0.06336325216583466,-0.20222293265449143,-0.046344982947629586,-0.11259101834762925,0.0996836153775954,0.04348928104832892,0.15587794970686183
2002-08,0.016880097889081094,0.0702191858301371,0.06657285682666707,0.03015367084563102,0.002242109525469962,0.010337137774540617,0.012713763310447476,0.053339087941056004,-0.02791156132016106
2002-09,-0.09198088406221652,-0.04666537538551774,-0.06785655875968867,-0.06513652681180701,-0.034228793109923376,-0.05756855439778472,0.038111621189291206,0.045315508676698785,0.030907733701883634
2002-10,-0.058856974719046044,-0.02697057362263671,0.04429930700656701,-0.035702662352175125,-0.04009776345885898,-0.012487112764594329,0.01374564999486274,0.031886401096409334,-0.004395101106683855
2002-11,0.09761434707798308,0.059156508699834,-0.16612369786435704,0.09704967632267815,0.02401989748104144,0.0768900678502759,-0.055743808609892906,-0.03845783837814908,-0.07302977884163671
2002-12,0.2337284848894039,0.06109155391729072,0.02662357701813498,0.08970017688311854,0.023955822697159894,0.05529522535428947,-0.11919064257903592,-0.1726369309721132,-0.06574435418595864
2003-01,0.06509569808177909,-0.02217936481623025,-0.06209710115790771,-0.07143683880233906,0.012740494519108204,-0.022400552134867833,-0.001548864788281039,-0.08727506289800935,0.08417733332144726
2003-02,0.029272050986333332,0.03055802952255825,0.011570162724726276,-0.005522245582324008,0.010658395454163097,0.01883390948332171,0.00873330978635601,0.0012859785362249188,0.016180641036487104
2003-03,-0.06699150294661615,-0.06303319193136492,-0.09138938947700016,-0.1365931579025018,-0.07155563972102405,-0.09621677284347438,0.03449791459836449,0.003958311015251237,0.06503751818147774
2003-04,-0.030332493983026478,0.01708937526398122,-0.08593307506709696,0.10378006232567319,0.07081601743575296,0.07318658552453759,0.007228912178543732,0.0474218692470077,-0.03296404488992023
2003-05,0.1925010716689349,0.1301153191147828,0.12099097109188867,0.2788075432264175,0.1706080154437837,0.21283206378586242,-0.08529264016839294,-0.0623857525541521,-0.10819952778263378
2003-06,0.16396972358916703,0.09172894734626082,0.14819506834221832,0.16171720487659022,0.07592648358748698,0.11958426813636619,-0.07901574876600473,-0.07224077624290622,-0.08579072128910324
2003-07,0.07308765251535326,0.05563514786931446,0.050538316249019874,0.08705974175348595,0.11188363488899913,0.06620168024042646,0.003685694244737178,-0.017452504646038806,0.024823893135513184
2003-08,0.4313985424007514,0.12835296594497775,0.14381541886970647,0.15706192842436467,0.1262567799826662,0.13424645077151293,-0.16692536244873601,-0.3030455764557736,-0.03080514844169846
2003-09,-0.031199170955991343,0.04151228431034534,0.03644618583532234,0.013540537803812624,0.027189298121523698,0.06245043953731005,0.04318010779202388,0.07271145526633668,0.013648760317711074
2003-10,-0.0023091915290899155,0.08477163902527116,0.07682561718739889,0.03771314734161285,0.07783828293537468,0.0918657918422936,0.06360298307406145,0.08708083055436107,0.040125135593761824
2003-11,-0.0358418863188201,0.019878746659987317,0.05308828462088801,0.13478420709764222,0.08946577465636997,0.13482204966816613,0.005201100268767585,0.055720632978807416,-0.04531843244127225
2003-12,0.17087618453448242,0.16875430256610421,0.2072477234753747,0.21552347954596912,0.20834183113584012,0.2056486878771403,-0.004651765189253615,-0.002121881968378203,-0.007181648410128999
2004-01,-0.06548619740519737,-0.023074394625353375,-0.041517636687948146,-0.09401301920907376,-0.06001958288341324,-0.07199283630950554,0.03820261955275226,0.04241180277984399,0.03399343632566052
2004-02,-0.07714648757011032,0.00048081790563049125,-0.01338616097928464,-0.04818880025306018,-0.02132309901245554,-0.0020269871897435295,0.05224650335817272,0.07762730547574082,0.02686570124060464
2004-03,-0.14927340368051215,-0.012112119811062402,0.06518271827527077,-0.009824327491292903,-0.018016302844983262,-0.033171386890860244,0.06448465425787969,0.13716128386944976,-0.008191975353690359
2004-04,0.0568335326252751,0.018538569445208458,0.019911340019209644,0.07943097612306078,0.09343748802414759,0.07670635442756592,-0.012144225639489928,-0.03829496318006664,0.014006511901086802
2004-05,-0.15568799656668844,-0.1664573401998915,-0.21820435004201416,-0.19207256131357894,-0.13491541056209314,-0.1454662513707461,0.02319390355914136,-0.01076934363320306,0.05715715075148581
