Month,BH,BL,BN,SH,SL,SN,HML_SG
2004-12,0.05122769244016187,0.027369119921304932,0.10925471198161649,0.12690111153534092,0.09260643943063537,0.08386905943566529,0.029076622311781243
2005-01,-0.003507837334352711,0.01989003507471914,-0.027775536071952024,-0.005751433133148856,-0.014146769128116025,-0.04191849420044462,-0.007501268207052342
2005-02,0.019702804719549435,0.002605991418996198,0.05631321265459815,0.026590501598525332,0.03588830136379721,0.027385144177024142,0.0038995067676406772
2005-03,-0.05328461208644081,-0.00458002020712125,-0.05055778866592043,-0.03803503832884524,-0.03996296993378665,-0.0307919834128882,-0.02338833013718908
2005-04,-0.06959132197816484,-0.03342590332446294,-0.06737529142499,-0.02053350355329796,0.010225434459531071,-0.012633459618660485,-0.033462178333265466
2005-05,0.13334095229890405,0.10359960052800622,0.07026013772441575,0.06607698993793373,0.07203444752746645,0.05179468523481637,0.011891947090682559
2005-06,0.0615414521822783,0.11050641947999904,0.04433687122318383,-0.013410309683173941,0.02756306253621321,-0.006552110670670054,-0.044969169758553945
2005-07,0.036059801207120774,-0.0038705183683989328,0.05681314850934074,0.1023603826131419,0.09647715127014896,0.08593858281650502,0.022906775459256318
2005-08,0.048666020758249454,0.03535048300093964,0.057367318131368736,0.08702726912014266,0.06950800361050447,0.06347605413817772,0.015417401633474014
2005-09,0.07740619799410015,0.11465258664829313,0.08483037460591741,0.06906995772784398,0.00692783597094409,0.049989791420678505,0.012447866551353444
2005-10,-0.08041671667417219,-0.13923976366447746,-0.055655608093145764,-0.12378298111246337,-0.09853939343784655,-0.07511509125586206,0.016789729657844227
2005-11,0.10362530548533436,0.10993163550456232,0.1342837275051771,0.11417168181764946,0.1109692444688863,0.14997929379337843,-0.0015519463352324098
2005-12,0.10145365169663376,0.0906689317362924,0.050917927176167055,0.0487219560936629,0.043823102266036265,0.05743990882208916,0.007841786893983987
2006-01,0.06344206818438938,0.026271691956036163,0.14243502112683532,0.043083528087467085,0.058757471062540416,0.06007277021525013,0.010748216626639946
2006-02,0.010127519364346868,0.14842800280946414,0.058765887666638414,-0.0023290946495024075,0.024220923741350976,0.03557969416448976,-0.08242525091798533
2006-03,0.13029667993917435,0.03946363743346189,0.13002459946847722,0.10864965698311704,0.110739032895738,0.09328510902829067,0.04437183329654576
2006-04,0.03693022857693316,0.03116339603534075,0.1613746374693464,0.06227244444122348,0.0838633797448396,0.05539176226939705,-0.007912051381011857
2006-05,-0.11796370490098215,-0.17854512677556914,-0.1621423540743827,-0.15354539704028883,-0.1591436942540962,-0.15264846404299,0.03308985954419719
