holding_month,BL,BN,BW,SL,SN,SW,WML
2002-01,0.015471253134071074,0.0018223192858774512,0.06303780114360268,0.03985636650557925,0.02401866883394329,0.05653957444766126,0.032124877975806806
2002-02,0.002450529852499536,0.09589052849278869,0.18402175259447143,0.05469787688267304,0.08609662824349257,0.11259381926526875,0.11973358256228381
2002-03,0.0037445468510921005,-0.009295581313543393,0.0828102012840082,0.06885033627410772,0.0432618863934499,0.05868125715594086,0.03444828765737462
2002-04,-0.045019600586153403,-0.04112045535698793,0.09391755701014767,0.05502680705789726,0.07674907131152385,0.13768400719739526,0.11079717886789954
2002-05,-0.027600026400417046,-0.06301751860397398,-0.05262410161460631,-0.013957866421428223,-0.019047185508483114,-0.03692638111774872,-0.023996294955254877
2002-06,0.06372984877633726,0.009465665450322935,0.023359359497629188,0.14262254628905816,0.11370742141468991,0.06743838086169181,-0.05777732735303722
2002-07,-0.07038852687078365,-0.09353872067202727,-0.025463340240618554,-0.130697783372085,-0.08409122196648462,-0.13665492161281487,0.01948402419471762
2002-08,0.08135639267873533,0.06099427372441275,0.03080750897546262,-0.0011123981928116051,0.00701641445320905,0.03102033167964361,-0.009208076915408751
2002-09,-0.029030120627529896,-0.051425777319672156,-0.13236692486893284,-0.053358944143219816,-0.03988916281535962,-0.06697280595257168,-0.058475333025377406
2002-10,-0.03768948790216343,-0.008690744650770698,0.07334180890601669,-0.049346742845046365,-0.022493633837736508,-0.016947918024696317,0.07171506081426507
2002-11,0.05810143038971592,0.13907943826933358,-0.303368370122714,0.07762302035471828,0.0677388831887307,0.054207400054959116,-0.19244271040609456
2002-12,0.02607051650426824,0.049875305986532684,0.053479001383875124,0.02835876775280558,0.05117762304980261,0.08480944612646159,0.04192958162663144
2003-01,-0.05975270095311623,-0.015670180360999306,0.040057085790962524,-0.04604341408566973,-0.01797013647035302,-0.018235697111801747,0.06380875185897338
2003-02,0.01981385483285968,0.023200261663127785,0.029624740620031426,0.004784519582129382,0.01788938683300716,0.006186051769539609,0.0056062089872909865
2003-03,-0.09342043536571722,-0.051319192903396815,-0.0721925561570972,-0.13652748769166004,-0.0800969081767817,-0.0876078999413798,0.03507373347945014
2003-04,-0.06744850757875598,-0.02429743693734355,0.01702950101438889,0.07710649064104234,0.05565566587970903,0.1122023630018959,0.05978694047699921
2003-05,0.08551952590514283,0.13779889181289295,0.12357432901920135,0.17242131172763298,0.19356511812114344,0.26470153555089276,0.06516751346865915
2003-06,0.15611150585926,0.11878984610219213,0.1120860511289839,0.1309075757530617,0.12115629525288642,0.10221542690465264,-0.03635880178934259
2003-07,0.05483738244497661,0.07772912078200778,0.014268687474780554,0.012150158259875811,0.09243997321856612,0.10685236932116379,0.02706675804554596
2003-08,0.0661613462762728,0.17817704610984036,0.252452601227333,0.11275927366235802,0.15099654042117258,0.13887263091531482,0.10620230610200848
2003-09,0.02948853922026915,0.034756316502845254,0.039705170228356325,0.019984001983823975,0.04238672363028081,0.04204566470968515,0.016139146866974173
2003-10,0.047968199120245324,0.05809392344609951,0.09453417004964815,0.01616085511475643,0.0825537933595024,0.08426709416812832,0.05733610499138736
2003-11,0.05425325636944334,0.024069744984089356,0.014281896191487158,0.12846800907990835,0.15197453324586502,0.08914099682418829,-0.03964918621683812
2003-12,0.13937735768046883,0.2025246762812952,0.20000656395200486,0.19748237043369282,0.21603622436244008,0.2092687946001818,0.03620781521901251
2004-01,-0.04979153664887345,-0.04125782316776407,-0.007651938702415067,-0.08126987522116261,-0.06479044537266446,-0.08177760528515902,0.020815933941230984
2004-02,-0.02572842230913161,0.007472521500838695,-0.021907441338838672,-0.053036031555338696,-0.029438894684096606,0.006712519950738692,0.031784766238185165
2004-03,-0.04029732801004249,0.05313113976994967,0.020204286898813567,-0.04978260686345486,-0.006430052881460752,-0.02308387080478715,0.04360017548376189
2004-04,0.03802253005909339,0.007848601283016668,0.02983202600249093,0.0584754485944246,0.11255720685871506,0.06545126435131099,-0.0006073441498580315
2004-05,-0.06609017299247864,-0.19152725428189196,-0.2439871547728582,-0.10893947176773781,-0.15424103498880382,-0.17738027071836718,-0.12316889036550448
2004-06,-0.06181650621545897,0.023575322602234633,0.011810694102432313,0.02626498419348668,0.024137991905260815,0.010522703162341189,0.028942459643372893
2004-07,-0.04392246537971111,0.09781524690789109,0.10069342706476196,0.12649992392429782,0.07492934939969358,0.10046739511324423,0.05929168181670974
