Unnamed: 0,index,Month,BG,BN,BV,SG,SN,SV,SMB,HML
150,150,2014-01,-3.605,-5.656,-9.685,-0.953,-0.276,-0.438,5.759,-2.783
151,151,2014-02,3.585,2.251,0.837,0.244,2.101,-1.891,-2.073,-2.442
152,152,2014-03,7.143,12.084,13.557,1.934,5.132,4.681,-7.012,4.581
153,153,2014-04,4.604,7.092,12.072,9.325,7.909,12.614,2.027,5.379
154,154,2014-05,15.467,23.62,29.632,13.981,14.933,20.09,-6.572,10.137
155,155,2014-06,12.181,17.314,17.694,19.14,17.495,20.107,3.184,3.24
156,156,2014-07,2.059,-2.377,-7.51,3.641,2.063,-1.816,3.905,-7.513
157,157,2014-08,4.607,1.844,-4.585,4.706,6.979,3.635,4.485,-5.131
158,158,2014-09,5.512,4.3,-1.002,8.216,10.42,10.899,6.908,-1.916
159,159,2014-10,1.699,3.134,1.44,0.742,3.132,-0.481,-0.96,-0.741
160,160,2014-11,3.781,0.632,-2.625,1.658,5.442,2.68,2.664,-2.692
161,161,2014-12,0.472,-2.521,-9.559,-0.82,-0.773,-1.787,2.743,-5.499
162,162,2015-01,5.006,3.849,4.893,3.194,6.812,4.973,0.411,0.833
163,163,2015-02,0.385,-0.262,0.625,-0.743,-1.55,-0.612,-1.217,0.186
164,164,2015-03,-0.52,-5.002,-15.957,-7.287,-5.648,-6.966,0.526,-7.558
165,165,2015-04,-1.055,3.272,1.272,7.74,6.63,7.338,6.073,0.963
166,166,2015-05,2.772,0.414,-3.961,0.843,1.147,0.339,1.035,-3.618
167,167,2015-06,-0.883,-0.503,-7.537,-3.194,0.824,-1.711,1.614,-2.586
168,168,2015-07,9.523,12.799,4.517,12.719,18.355,15.137,6.457,-1.294
169,169,2015-08,-7.169,-8.867,-10.192,-4.703,-6.422,-3.188,3.972,-0.754
170,170,2015-09,-0.017,1.592,2.406,0.092,1.007,0.077,-0.935,1.204
171,171,2015-10,3.301,7.054,7.318,8.51,8.493,8.429,2.586,1.968
172,172,2015-11,2.004,4.963,3.971,7.07,8.599,9.357,4.696,2.127
173,173,2015-12,2.815,2.641,5.054,11.65,10.96,13.834,8.645,2.211
174,174,2016-01,-8.511,-9.533,-10.829,-3.545,-4.722,-1.402,6.402,-0.087
175,175,2016-02,-11.715,-13.673,-15.175,-13.955,-14.635,-14.066,-0.697,-1.785
