Month,Co_Code,Co_Name,Momentum_Label,Size_Label,BM_Label,BM,Monthly_Return,Size,Price_EOM,Momentum,OpProf_Label,Inv_Label,OpProf,Inv,Year
2010-05-01,33727,BHARAT ELECTRONICS LTD.,W,B,G,0.3159584218336291,0.8835345683407859,137476.0,1718.45,2.3856858010978677,N,N,0.39555695857783046,0.2159666200644327,2010
2010-06-01,33727,BHARAT ELECTRONICS LTD.,L,B,G,0.31804904694822184,1.0164334442830236,139132.0,1739.15,1.1398167669640389,N,N,0.39555695857783046,0.2159666200644327,2010
2010-07-01,33727,BHARAT ELECTRONICS LTD.,L,B,G,0.3058021892967714,1.0800574350432866,144704.0,1808.8,1.0171693218294617,N,N,0.39555695857783046,0.2159666200644327,2010
2010-08-01,33727,BHARAT ELECTRONICS LTD.,L,B,G,0.33345490716180376,0.8321795751837326,132704.0,1658.8,0.9287198259055915,N,N,0.39555695857783046,0.2159666200644327,2010
2010-09-01,33727,BHARAT ELECTRONICS LTD.,L,B,G,0.32480063681477866,1.1443001475030095,139444.0,1743.05,1.057854748005183,N,N,0.39555695857783046,0.2159666200644327,2010
2010-10-01,33727,BHARAT ELECTRONICS LTD.,L,B,G,0.34683805060344297,0.8795218509481234,130584.0,1632.3,0.815929852485418,N,N,0.31986539153927224,0.1998721697927937,2010
2010-11-01,33727,BHARAT ELECTRONICS LTD.,L,B,G,0.331669791147954,1.1467677037856068,136556.0,1706.95,0.9866880021109435,N,N,0.31986539153927224,0.1998721697927937,2010
2010-12-01,33727,BHARAT ELECTRONICS LTD.,L,B,G,0.3354185103771161,1.0372952172618102,140116.0,1751.45,0.7009579228280222,N,N,0.31986539153927224,0.1998721697927937,2010
2011-01-01,33727,BHARAT ELECTRONICS LTD.,L,B,G,0.33863773922065943,1.008897389051232,138784.0,1734.8,0.7361432226056551,N,N,0.31986539153927224,0.1998721697927937,2011
2011-02-01,33727,BHARAT ELECTRONICS LTD.,L,B,G,0.3501136500481696,0.968663720825921,132864.0,1660.8,0.7512032389479085,N,N,0.31986539153927224,0.1998721697927937,2011
2011-03-01,33727,BHARAT ELECTRONICS LTD.,L,B,G,0.37234251675353686,1.0190863835096517,134300.0,1678.75,0.7306265612152619,N,N,0.31986539153927224,0.1998721697927937,2011
2011-04-01,33727,BHARAT ELECTRONICS LTD.,L,B,G,0.3409534718813069,1.1034270243712798,146664.0,1833.3,0.6420669214441418,N,N,0.31986539153927224,0.1998721697927937,2011
2011-05-01,33727,BHARAT ELECTRONICS LTD.,N,B,G,0.37506825477783445,0.9121274422479493,133324.0,1666.55,0.9624138041952988,N,N,0.31986539153927224,0.1998721697927937,2011
2011-06-01,33727,BHARAT ELECTRONICS LTD.,N,B,G,0.399812710700462,0.9306586091897081,128144.0,1601.8,1.2019375791615419,N,N,0.31986539153927224,0.1998721697927937,2011
2011-07-01,33727,BHARAT ELECTRONICS LTD.,N,B,G,0.3645793009222361,1.1042951241288115,140528.0,1756.6,1.078595215445352,N,N,0.31986539153927224,0.1998721697927937,2011
2011-08-01,33727,BHARAT ELECTRONICS LTD.,N,B,G,0.4153581736225962,0.8838858423770721,123348.0,1541.85,0.9293986509567561,N,N,0.31986539153927224,0.1998721697927937,2011
2011-09-01,33727,BHARAT ELECTRONICS LTD.,W,B,G,0.42803304625823707,0.9974943541723659,122616.0,1532.7,1.2333039997969701,N,N,0.31986539153927224,0.1998721697927937,2011
2011-10-01,33727,BHARAT ELECTRONICS LTD.,W,B,G,0.41921227515256076,1.0087678642560773,125196.0,1564.95,0.9526346275024757,N,N,0.319259059735201,0.08304392895581311,2011
2011-11-01,33727,BHARAT ELECTRONICS LTD.,W,B,G,0.43723299676763633,0.9596338399013794,120036.0,1500.45,1.0804139334326357,N,N,0.319259059735201,0.08304392895581311,2011
2011-12-01,33727,BHARAT ELECTRONICS LTD.,W,B,G,0.48684371637416046,0.8939722519761408,107804.0,1347.55,0.9503989801452473,N,N,0.319259059735201,0.08304392895581311,2011
2012-01-01,33727,BHARAT ELECTRONICS LTD.,W,B,G,0.4820805035024713,1.0481958610157824,112492.0,1406.15,0.8792434473598304,N,N,0.319259059735201,0.08304392895581311,2012
2012-02-01,33727,BHARAT ELECTRONICS LTD.,N,B,G,0.4124737524703557,1.1666704798363945,129536.0,1619.2,0.7790874009602763,N,N,0.319259059735201,0.08304392895581311,2012
2012-03-01,33727,BHARAT ELECTRONICS LTD.,N,B,G,0.43846999737394954,0.9490838067633294,121856.0,1523.2,0.8430543763524133,N,N,0.319259059735201,0.08304392895581311,2012
