Month,BL,BW,SL,SW,WML
2024-04,0.0289,0.0777,0.1031,0.1306,0.0382
2024-05,0.0537,0.0378,-0.0248,-0.0162,-0.0037
2024-06,0.0770,0.0493,0.1017,0.1082,-0.0106
2024-07,0.0292,0.0487,0.0571,0.0839,0.0231
2024-08,0.0237,-0.0160,0.0017,0.0336,-0.0039
2024-09,0.0574,0.0128,0.0211,0.0063,-0.0297
2024-10,-0.0596,-0.0813,-0.0609,-0.0310,0.0041
2024-11,-0.0276,-0.0062,-0.0039,0.0236,0.0245
2024-12,-0.0222,-0.0046,-0.0053,-0.0021,0.0104
2025-01,0.0333,-0.0850,-0.0713,-0.1101,-0.0785
2025-02,-0.0944,-0.1192,-0.1572,-0.1638,-0.0157
2025-03,0.0825,0.1050,0.0182,0.1028,0.0535
2025-04,0.0211,0.0273,0.0472,-0.0025,-0.0217
2025-05,0.1027,0.0333,0.1206,0.1065,-0.0418
2025-06,0.0212,0.0508,0.0396,0.0321,0.0111
2025-07,-0.0330,-0.0275,-0.0388,0.0006,0.0225
2025-08,-0.0443,-0.0200,-0.0272,-0.0272,0.0121
2025-09,-0.0146,0.0158,0.0110,0.0117,0.0156
2025-10,-0.0122,0.0399,0.0213,0.0358,0.0333
2025-11,-0.0409,0.0102,-0.0660,-0.0376,0.0397
2025-12,0.0012,0.0009,-0.0273,-0.0059,0.0105
2026-01,-0.0648,-0.0248,-0.0897,-0.0628,0.0335
2026-02,0.0381,0.0245,-0.0141,0.0201,0.0103
2026-03,-0.1585,-0.1098,-0.1490,-0.1094,0.0442
2026-04,0.1114,0.1111,0.2364,0.2122,-0.0122
