Unnamed: 0,index,Month,BN,BR,BW,SN,SR,SW,RMW
181,181,2016-08,2.641,2.864,-1.824,-0.082,2.734,-0.398,3.91
182,182,2016-09,0.472,1.996,-1.982,3.13,5.208,1.265,3.961
183,183,2016-10,7.756,7.449,9.117,15.057,18.144,14.079,1.198
184,184,2016-11,-7.439,-8.94,-10.646,-7.93,-7.299,-5.612,0.009
185,185,2016-12,-1.88,-2.119,-0.984,0.313,0.357,1.229,-1.004
186,186,2017-01,8.149,7.038,8.151,9.07,9.184,7.19,0.44
187,187,2017-02,4.395,4.427,6.417,1.676,2.325,1.475,-0.57
188,188,2017-03,4.497,5.278,4.261,1.636,3.993,-1.327,3.168
189,189,2017-04,4.894,5.432,9.969,9.493,9.8,8.692,-1.714
190,190,2017-05,-2.811,-1.389,-6.934,-3.736,-3.993,-5.086,3.319
191,191,2017-06,1.289,1.971,1.933,-0.097,3.675,-0.438,2.075
192,192,2017-07,4.586,4.434,8.348,6.028,5.037,5.135,-2.007
193,193,2017-08,-0.921,-0.026,-3.76,-3.373,-2.134,-4.074,2.837
194,194,2017-09,1.586,1.189,-1.524,1.862,2.302,1.495,1.76
195,195,2017-10,10.587,9.27,8.507,10.202,12.486,6.963,3.143
196,196,2017-11,2.549,5.207,2.974,6.014,6.152,5.955,1.215
197,197,2017-12,5.856,5.94,10.792,8.99,9.181,8.69,-2.18
198,198,2018-01,-2.303,-1.655,-4.924,-1.135,0.941,2.541,0.835
199,199,2018-02,-3.894,-1.901,-7.366,-4.816,-3.24,-6.09,4.158
200,200,2018-03,-7.918,-6.088,-10.999,-11.517,-9.106,-10.36,3.083
201,201,2018-04,7.63,9.067,4.171,7.706,9.004,4.724,4.588
202,202,2018-05,-7.768,-5.676,-8.014,-6.699,-6.904,-5.437,0.436
203,203,2018-06,-7.245,-6.697,-8.692,-8.236,-7.575,-7.912,1.166
204,204,2018-07,2.331,4.174,3.154,0.925,2.059,-0.712,1.895
205,205,2018-08,4.267,4.048,3.636,4.004,4.646,1.943,1.558
206,206,2018-09,-13.438,-12.949,-19.663,-9.97,-8.905,-7.867,2.838
207,207,2018-10,-0.875,-1.718,-3.32,-1.555,-2.081,-2.866,1.194
208,208,2018-11,1.214,0.55,2.95,0.729,2.114,1.995,-1.141
209,209,2018-12,0.856,2.295,3.204,1.046,1.535,0.8,-0.087
210,210,2019-01,-6.69,-6.071,-9.669,-5.707,-5.387,-5.219,1.715
211,211,2019-02,-1.809,-2.009,-5.244,-5.551,-5.302,-4.429,1.181
212,212,2019-03,8.382,8.504,10.822,3.65,5.883,2.732,0.416
213,213,2019-04,-2.362,-2.33,-3.457,0.343,-1.05,0.075,0.001
214,214,2019-05,1.101,0.53,1.107,-0.139,-1.053,-1.22,-0.205
215,215,2019-06,-5.747,-4.828,-9.626,-8.584,-7.324,-6.195,1.835
216,216,2019-07,-11.033,-12.6,-14.667,-11.429,-10.863,-8.021,-0.387
217,217,2019-08,-2.801,0.044,-2.989,-1.475,-2.672,-3.269,1.815
218,218,2019-09,5.901,6.902,2.211,4.347,6.431,2.817,4.152
219,219,2019-10,1.628,1.907,-0.194,-2.077,-1.077,-2.846,1.935
220,220,2019-11,-1.128,-2.596,5.254,-0.454,-1.53,3.1,-6.24
221,221,2019-12,0.801,0.993,-3.064,1.149,1.561,1.437,2.09
222,222,2020-01,4.621,5.181,3.825,5.604,5.407,3.882,1.44
223,223,2020-02,-9.148,-6.822,-10.312,-8.217,-7.542,-6.772,1.36
224,224,2020-03,-30.385,-29.904,-34.61,-21.111,-21.2,-16.417,-0.039
225,225,2020-04,19.55,19.235,22.012,15.59,15.804,14.888,-0.93
226,226,2020-05,-0.89,-2.254,-4.296,-0.319,0.18,3.959,-0.869
227,227,2020-06,18.22,14.807,32.901,23.107,18.999,28.642,-13.868
228,228,2020-07,5.037,4.424,1.934,0.483,1.78,-2.817,3.543
229,229,2020-08,11.98,12.69,12.011,13.44,14.273,12.582,1.185
230,230,2020-09,1.695,2.11,-4.663,-0.037,0.144,-2.3,4.608
231,231,2020-10,0.702,0.425,0.241,0.241,0.452,0.356,0.14
232,232,2020-11,12.259,10.392,18.04,10.546,8.676,6.822,-2.898
233,233,2020-12,10.16,8.213,14.273,16.551,14.62,19.741,-5.59
234,234,2021-01,-0.149,0.625,0.583,1.922,2.319,3.756,-0.698
235,235,2021-02,9.826,8.739,14.669,6.294,7.791,5.795,-1.967
236,236,2021-03,-0.349,3.173,-1.505,-1.666,1.146,-0.929,3.377
237,237,2021-04,6.386,5.569,4.62,7.237,9.394,7.498,1.422
238,238,2021-05,12.088,10.435,15.252,17.392,19.349,16.283,-0.875
239,239,2021-06,8.798,7.817,6.087,16.995,14.931,18.178,-0.759
240,240,2021-07,7.689,7.142,7.966,14.292,17.997,14.513,1.329
241,241,2021-08,-3.89,-0.277,-3.897,-5.362,-3.894,-1.41,0.568
242,242,2021-09,6.132,5.607,6.324,6.903,6.312,9.137,-1.771
243,243,2021-10,-0.547,0.412,2.268,3.481,3.505,6.084,-2.218
244,244,2021-11,-2.044,-1.706,-2.992,3.063,1.885,6.729,-1.779
245,245,2021-12,5.95,5.769,3.342,21.96,17.489,23.7,-1.892
246,246,2022-01,2.249,-0.533,3.401,9.831,8.602,8.075,-1.703
247,247,2022-02,-7.672,-8.265,-8.862,-8.9,-9.15,-8.602,0.025
248,248,2022-03,4.525,4.65,4.162,3.056,3.954,3.593,0.424
249,249,2022-04,6.073,3.283,4.784,11.647,15.171,10.106,1.782
250,250,2022-05,-7.176,-7.841,-7.689,-9.294,-9.022,-8.797,-0.188
251,251,2022-06,-5.258,-4.853,-6.045,-3.583,-2.636,-4.458,1.507
252,252,2022-07,10.845,8.163,9.484,7.332,7.482,6.259,-0.049
253,253,2022-08,7.657,5.201,6.238,10.613,10.497,9.072,0.194
254,254,2022-09,-1.353,-1.614,-0.174,3.138,5.346,2.591,0.657
255,255,2022-10,2.068,0.927,1.829,3.25,2.645,1.691,0.026
256,256,2022-11,3.498,2.808,3.403,2.56,1.839,1.885,-0.321
257,257,2022-12,-2.332,-0.502,-1.59,0.967,0.704,4.08,-1.144
258,258,2023-01,-2.116,-2.485,-2.821,1.005,0.347,-0.258,0.47
259,259,2023-02,-3.546,-3.946,-6.581,-6.611,-7.684,-8.238,1.594
260,260,2023-03,0.126,-1.34,-2.067,-4.114,-3.22,-6.587,2.047
261,261,2023-04,9.527,6.231,8.827,13.03,13.801,13.028,-0.911
262,262,2023-05,5.401,4.805,5.427,3.887,1.216,3.984,-1.695
263,263,2023-06,7.723,6.806,8.236,7.28,7.165,7.229,-0.747
264,264,2023-07,9.113,4.482,7.224,6.012,5.298,4.502,-0.973
265,265,2023-08,6.223,4.492,6.596,6.796,6.497,8.703,-2.155
266,266,2023-09,1.632,0.708,6.386,3.228,4.225,6.513,-3.983
267,267,2023-10,-2.243,-1.088,0.251,2.383,3.847,2.295,0.106
268,268,2023-11,8.22,7.738,9.785,8.384,6.181,9.66,-2.763
269,269,2023-12,6.366,5.851,7.725,6.493,7.467,9.016,-1.711
270,270,2024-01,6.763,3.842,12.133,11.897,10.6,14.964,-6.328
271,271,2024-02,0.234,-1.02,0.211,-0.77,1.185,0.313,-0.179
272,272,2024-03,-4.143,-3.84,-6.984,-8.983,-8.356,-10.183,2.486
273,273,2024-04,10.633,9.392,11.34,15.081,13.956,14.629,-1.311
274,274,2024-05,-0.281,-0.266,-2.729,-3.956,-2.609,-2.267,1.06
275,275,2024-06,10.085,10.969,8.65,9.933,8.103,8.075,1.173
276,276,2024-07,7.002,6.823,7.195,8.77,8.3,8.065,-0.068
277,277,2024-08,0.617,1.902,2.207,3.472,5.622,4.583,0.367
278,278,2024-09,1.554,1.231,3.184,1.649,1.901,3.426,-1.739
279,279,2024-10,-4.228,-4.364,-4.852,-2.735,-1.382,-2.344,0.725
280,280,2024-11,0.096,0.551,-0.022,1.793,1.819,2.097,0.147
281,281,2024-12,-1.052,0.068,-2.023,3.638,4.083,3.549,1.312
282,282,2025-01,-7.779,-7.741,-8.868,-7.476,-7.218,-6.824,0.366
283,283,2025-02,-13.165,-13.265,-13.673,-15.242,-15.11,-13.427,-0.637
284,284,2025-03,6.83,7.143,6.784,-2.129,-0.008,-3.246,1.798
