"Date","Price","Open","High","Low","Vol.","Change %"
"01-06-2023","16,430.00","15,801.95","16,437.45","15,743.40","39.55B","4.21%"
"01-05-2023","15,766.40","15,276.20","15,823.90","15,239.50","39.82B","3.59%"
"01-04-2023","15,219.55","14,621.05","15,235.45","14,541.60","25.85B","4.55%"
"01-03-2023","14,557.85","14,557.00","14,952.85","14,177.50","31.99B","0.27%"
"01-02-2023","14,518.75","15,054.80","15,154.10","14,465.70","32.73B","-2.79%"
"01-01-2023","14,935.50","15,479.95","15,575.70","14,675.05","37.27B","-3.32%"
"01-12-2022","15,448.85","16,041.15","16,041.65","14,985.40","59.17B","-3.12%"
"01-11-2022","15,946.15","15,507.95","15,991.60","15,384.35","41.60B","3.39%"
"01-10-2022","15,424.00","14,837.10","15,433.05","14,585.80","28.76B","4.01%"
"01-09-2022","14,829.35","15,142.70","15,724.45","14,516.30","41.05B","-3.23%"
"01-08-2022","15,325.05","14,741.40","15,445.50","14,666.20","36.70B","4.50%"
"01-07-2022","14,665.65","13,335.25","14,677.75","13,192.90","27.23B","9.55%"
"01-06-2022","13,387.55","14,132.10","14,300.00","12,855.55","27.88B","-5.18%"
"01-05-2022","14,119.60","14,647.25","14,798.30","13,389.75","33.00B","-4.49%"
"01-04-2022","14,783.35","14,890.10","15,477.80","14,617.05","34.67B","-0.75%"
"01-03-2022","14,894.50","14,161.70","14,963.40","13,423.55","37.60B","4.10%"
"01-02-2022","14,307.95","15,073.15","15,304.60","13,747.45","34.90B","-4.11%"
"01-01-2022","14,921.45","15,030.50","15,834.20","14,410.90","39.98B","-0.50%"
"01-12-2021","14,996.20","14,743.70","15,280.00","14,128.15","43.93B","2.37%"
"01-11-2021","14,648.35","15,179.40","15,664.45","14,402.10","35.42B","-2.91%"
"01-10-2021","15,086.90","14,994.80","16,004.45","14,932.75","50.18B","0.23%"
"01-09-2021","15,052.65","14,611.65","15,305.20","14,527.05","54.18B","3.41%"
"01-08-2021","14,555.90","13,759.80","14,571.80","13,716.70","41.30B","6.53%"
"01-07-2021","13,664.25","13,504.70","13,761.10","13,409.10","40.54B","1.42%"
"01-06-2021","13,473.55","13,274.25","13,634.35","13,155.55","57.32B","1.87%"
"01-05-2021","13,226.35","12,256.85","13,244.40","12,210.55","55.09B","6.97%"
"01-04-2021","12,364.35","12,401.35","12,659.40","11,923.20","38.79B","0.41%"
"01-03-2021","12,313.70","12,316.30","12,816.15","11,939.00","49.53B","1.09%"
"01-02-2021","12,181.40","11,396.90","12,724.55","11,304.00","60.15B","7.78%"
"01-01-2021","11,302.40","11,535.85","12,167.95","11,273.55","57.65B","-1.87%"
"01-12-2020","11,518.30","10,803.25","11,548.35","10,734.30","55.73B","7.46%"
"01-11-2020","10,719.05","9,622.70","10,804.10","9,524.20","43.87B","11.87%"
"01-10-2020","9,581.65","9,433.70","9,822.95","9,423.80","34.18B","2.57%"
"01-09-2020","9,341.75","9,422.45","9,640.95","8,933.95","48.00B","-0.32%"
"01-08-2020","9,372.05","9,029.60","9,747.05","8,925.05","49.03B","3.72%"
"01-07-2020","9,035.75","8,493.75","9,180.70","8,466.70","52.20B","6.62%"
"01-06-2020","8,474.80","7,935.70","8,699.55","7,839.15","74.84B","8.34%"
"01-05-2020","7,822.40","7,764.95","7,834.05","7,234.45","43.57B","-2.38%"
"01-04-2020","8,012.90","6,995.55","8,041.05","6,619.55","37.37B","14.52%"
"01-03-2020","6,996.75","9,380.40","9,436.50","6,151.60","52.99B","-24.25%"
"01-02-2020","9,236.05","9,844.90","10,071.70","9,214.10","35.01B","-6.34%"
"01-01-2020","9,861.45","9,897.95","10,174.95","9,700.35","35.46B","-0.11%"
"01-12-2019","9,872.55","9,863.10","9,946.05","9,574.85","34.43B","0.60%"
"01-11-2019","9,813.65","9,703.10","9,874.90","9,596.85","43.26B","1.28%"
"01-10-2019","9,689.65","9,372.70","9,733.35","9,008.85","35.20B","3.73%"
"01-09-2019","9,340.90","8,927.90","9,552.25","8,738.65","31.14B","4.05%"
"01-08-2019","8,977.55","9,001.70","9,103.10","8,628.35","29.95B","-0.75%"
"01-07-2019","9,044.95","9,697.00","9,805.30","8,928.00","29.26B","-6.35%"
"01-06-2019","9,657.95","9,827.75","9,941.45","9,476.10","27.52B","-1.50%"
"01-05-2019","9,805.05","9,646.40","9,889.30","9,108.45","32.93B","1.46%"
"01-04-2019","9,664.30","9,703.00","9,826.45","9,577.00","25.86B","0.01%"
"01-03-2019","9,663.70","8,995.45","9,667.45","8,994.00","30.40B","7.90%"
"01-02-2019","8,955.95","9,024.95","9,179.75","8,729.70","30.24B","-0.53%"
"01-01-2019","9,003.85","9,186.70","9,206.05","8,825.60","24.30B","-1.81%"
"01-12-2018","9,170.00","9,153.60","9,258.35","8,646.55","24.22B","0.67%"
"01-11-2018","9,109.15","8,798.30","9,134.35","8,742.50","23.95B","4.06%"
"01-10-2018","8,753.45","9,107.00","9,185.50","8,370.80","28.94B","-3.98%"
"01-09-2018","9,116.00","10,049.85","10,049.85","9,041.65","26.00B","-8.77%"
"01-08-2018","9,992.00","9,661.70","10,027.00","9,579.70","27.89B","3.54%"
"01-07-2018","9,650.60","9,185.20","9,657.60","9,060.60","26.11B","5.33%"
