"Date","Price","Open","High","Low","Vol.","Change %"
"01-08-2021","24,525.71","22,730.42","24,525.71","22,730.42","","8.74%"
"01-07-2021","22,554.26","22,396.40","22,762.34","22,344.81","","0.44%"
"01-06-2021","22,455.70","22,192.25","22,649.05","22,192.25","","1.14%"
"01-05-2021","22,203.59","20,815.43","22,203.59","20,619.62","","6.69%"
"01-04-2021","20,811.13","21,137.69","21,186.30","20,328.55","","-0.36%"
"01-03-2021","20,886.52","20,975.08","21,662.92","20,366.42","","1.17%"
"01-02-2021","20,644.88","20,263.44","21,739.69","20,263.44","","6.71%"
"01-01-2021","19,346.03","19,885.36","20,775.67","19,346.03","","-2.46%"
"01-12-2020","19,833.19","18,591.25","19,833.53","18,591.25","","7.83%"
"01-11-2020","18,392.54","16,542.08","18,514.82","16,542.08","","11.44%"
"01-10-2020","16,504.16","16,156.44","16,944.73","16,156.44","","3.69%"
"01-09-2020","15,916.72","16,227.14","16,421.95","15,291.25","","-1.20%"
"01-08-2020","16,110.07","15,388.98","16,478.01","15,388.98","","2.97%"
"01-07-2020","15,645.34","14,707.64","15,961.70","14,707.64","","7.70%"
"01-06-2020","14,527.18","13,850.00","14,765.36","13,835.27","","7.58%"
"01-05-2020","13,503.45","13,086.63","13,503.45","12,425.57","","-2.74%"
"01-04-2020","13,884.18","11,621.35","13,884.18","11,382.02","","14.69%"
"01-03-2020","12,105.66","15,632.14","15,878.98","10,710.41","","-23.03%"
"01-02-2020","15,726.92","16,369.00","17,126.07","15,726.92","","-6.33%"
"01-01-2020","16,790.45","17,096.83","17,349.12","16,790.45","","-1.68%"
"01-12-2019","17,077.06","16,906.88","17,222.14","16,638.94","","0.94%"
"01-11-2019","16,917.89","16,685.73","17,051.31","16,615.37","","1.50%"
"01-10-2019","16,667.29","15,912.03","16,667.29","15,584.94","","3.70%"
"01-09-2019","16,072.50","15,124.80","16,248.62","14,994.39","","4.09%"
"01-08-2019","15,440.47","15,350.83","15,555.44","15,045.62","","-0.64%"
"01-07-2019","15,539.43","16,540.88","16,658.04","15,493.33","","-5.44%"
"01-06-2019","16,433.85","16,815.25","16,815.25","16,257.06","","-0.90%"
"01-05-2019","16,583.46","16,286.18","16,615.59","15,488.60","","1.62%"
"01-04-2019","16,318.66","16,208.94","16,372.86","16,079.51","","1.07%"
"01-03-2019","16,146.11","15,077.91","16,146.11","15,077.91","","7.79%"
"01-02-2019","14,979.39","15,099.21","15,347.41","14,709.75","","-0.22%"
"01-01-2019","15,012.34","15,114.90","15,188.00","14,764.02","","-0.24%"
"01-12-2018","15,048.98","15,069.07","15,184.78","14,521.73","","-0.07%"
"01-11-2018","15,059.37","14,371.10","15,059.37","14,371.10","","4.74%"
"01-10-2018","14,377.38","15,221.75","15,221.75","13,882.95","","-4.87%"
"01-09-2018","15,114.08","16,007.84","16,019.84","15,114.08","","-6.38%"
"01-08-2018","16,143.51","15,658.27","16,220.45","15,520.25","","3.01%"
"01-07-2018","15,672.47","14,675.42","15,672.47","14,675.42","","6.23%"
"01-06-2018","14,753.91","14,695.40","14,917.68","14,555.52","","0.02%"
"01-05-2018","14,750.26","14,695.26","14,817.01","14,301.15","","0.18%"
"01-04-2018","14,723.32","14,000.07","14,723.32","13,885.72","","6.19%"
"01-03-2018","13,865.57","14,311.52","14,311.52","13,706.99","","-3.43%"
"01-02-2018","14,358.71","15,052.72","15,052.72","14,169.77","","-4.69%"
"01-01-2018","15,065.82","14,252.02","15,204.42","14,252.02","","4.76%"
"01-12-2017","14,381.92","13,823.52","14,383.04","13,717.36","","2.97%"
"01-11-2017","13,966.58","14,255.58","14,274.97","13,818.25","","-1.01%"
"01-10-2017","14,108.55","13,448.66","14,137.62","13,448.66","","5.67%"
"01-09-2017","13,351.99","13,598.09","13,848.34","13,279.85","","-1.25%"
"01-08-2017","13,521.03","13,775.33","13,775.33","13,234.20","","-1.48%"
"01-07-2017","13,724.19","13,060.15","13,724.19","13,057.86","","6.12%"
"01-06-2017","12,932.33","13,022.35","13,116.78","12,882.70","","-0.66%"
"01-05-2017","13,018.69","12,596.08","13,023.19","12,558.60","","3.46%"
"01-04-2017","12,582.88","12,493.39","12,647.53","12,311.67","","1.42%"
"01-03-2017","12,406.69","12,079.80","12,406.69","12,014.70","","3.47%"
"01-02-2017","11,990.44","11,758.63","12,067.61","11,758.63","","3.83%"
"01-01-2017","11,548.15","11,031.91","11,656.00","11,031.91","","4.60%"
"01-12-2016","11,040.41","11,050.00","11,142.82","10,666.06","","-0.47%"
"01-11-2016","11,092.59","11,631.33","11,631.33","10,694.09","","-4.61%"
"01-10-2016","11,628.32","11,769.16","11,811.04","11,475.97","","0.26%"
"01-09-2016","11,598.22","11,810.69","12,055.60","11,571.40","","-1.93%"
"01-08-2016","11,826.19","11,612.19","11,826.19","11,489.74","","1.82%"
"01-07-2016","11,614.80","11,175.85","11,652.18","11,172.39","","4.44%"
"01-06-2016","11,121.39","10,934.62","11,121.39","10,847.29","","1.96%"
"01-05-2016","10,908.07","10,415.52","10,932.70","10,283.01","","4.14%"
