Month,BN,BR,BW,SN,SR,SW,RMW
2004-11,0.04800144897178461,0.10879918722682867,0.11012800048481305,0.12995871485076343,0.13000802057093047,0.14796045113102432,-0.00964062190903911
2004-12,0.050036609168337576,0.11687903474140925,0.09825030468107156,0.1180128201662986,0.11564739329163547,0.13656018615895263,-0.0011420314034897433
2005-01,-0.023449249959235245,-0.021017790948075984,0.006364621487017091,-0.017854391236175608,-0.007432045474508249,-0.008101446200230901,-0.01335650585468521
2005-02,0.030720750628810817,0.016169627793739327,0.012883812801983053,0.05034227384371353,0.06614645870818481,0.0455849941877332,0.011923639756103943
2005-03,-0.024823909704629388,-0.05546732533844146,-0.05767814214552868,-0.003905801761350466,-0.00013624950437419705,-0.032423721568295136,0.017249144435504075
2005-04,-0.0421570571602527,-0.03031742953982433,-0.02317681889543581,0.015276659624550085,0.03398883806055933,0.020245422849961604,0.0033014022831046024
2005-05,0.08887650831698647,0.06688854773881577,0.06581833802616197,0.09177240982015528,0.09476749416078344,0.1109966466203633,-0.0075794713734630426
2005-06,0.07835744495049024,0.001137201593776526,0.07346403040866878,0.018743874484882773,-0.013151975285833182,-0.0005325241610233481,-0.04247313996985104
2005-07,0.02848938146648081,0.04126442395443225,0.12153412206138109,0.12186387602452556,0.09095366683007967,0.11131981595787488,-0.05031792361737203
2005-08,0.048978273609198354,0.04365763585662086,0.06122441897878415,0.1297674737040148,0.13351162950204215,0.15885504215388754,-0.021455097887004337
2005-09,0.08857979119554785,0.10836678353347376,0.06757185328728246,0.002031061956748879,0.018020774278542314,-0.00950744693240947,0.03416157572857154
2005-10,-0.06395365273228483,-0.10012338024891912,-0.11086206705904099,-0.10199066795832787,-0.11419856853940684,-0.12395644875313531,0.01024828351192518
2005-11,0.13660213740838342,0.11692563838632682,0.11952256602205107,0.11847095939313934,0.10402844678468684,0.12632029735811054,-0.01244438910457396
2005-12,0.05056278177254665,0.0866893845552767,0.06444662138243243,0.06513873254187233,0.05830573289555361,0.04426011127031033,0.018144192399043774
