Month,BG,BN,BV,SG,SN,SV,n_BG,n_BN,n_BV,n_SG,n_SN,n_SV,SMB,HML
2004-06,0.013169705522853672,0.04708888483761435,0.1469974701711392,0.016918670176454945,0.011828019481597006,0.01808295029097415,42.0,18.0,2.0,137.0,203.0,143.0,-0.015755950351208036,0.0011642801145192068
2004-07,0.07904575478842087,0.07962523484996803,0.30487229808012317,0.04679960658229617,0.09434883399414978,0.16881004378956024,42.0,18.0,2.0,137.0,203.0,143.0,-0.008761274530971471,0.12201043720726407
2004-08,0.007024144909764371,0.010253067702558205,0.03948613518860609,0.08452025200437548,0.0780076735831028,0.1251952901076299,42.0,18.0,2.0,137.0,202.0,143.0,0.07262535648757784,0.040675038103254416
2004-09,0.07548880690043766,0.07649779088518738,0.11917257157980993,0.09259716900009585,0.07406546401163028,0.0955813055888964,42.0,18.0,2.0,136.0,201.0,143.0,0.007338017613050543,0.0029841365888005483
2004-10,0.022809151446762228,-0.008907211398542092,-0.08138088287066392,0.014048288144161977,0.020384467442735442,0.04628287923285279,57.0,16.0,1.0,200.0,259.0,160.0,0.010265407769338642,0.03223459108869081
2004-11,0.08277449472430023,0.17356136063008984,0.024915458623567366,0.11618271837238994,0.1715565218948987,0.2186979413042505,57.0,16.0,1.0,200.0,258.0,160.0,0.015701692456449284,0.10251522293186055
2004-12,0.07106517359315583,0.12909525193722268,0.2126679196583332,0.11402762606814323,0.15861171376216407,0.13139187572774522,57.0,16.0,1.0,200.0,258.0,160.0,0.0362394571499644,0.017364249659601982
2005-01,-0.017099658786509396,-0.044324180352148614,0.02694679203483097,-0.0017935959334732525,-0.015590130460133767,-0.014861611844720844,57.0,16.0,1.0,199.0,258.0,159.0,0.022020056372525496,-0.013068015911247592
2005-02,0.027075112902622257,0.05248862409957295,-0.14540840161476987,0.03526393164928817,0.07707756195306749,0.07944073698537978,57.0,16.0,1.0,198.0,258.0,159.0,0.016388878300080227,0.044176805336091605
2005-03,-0.03594876902072693,-0.06475240320059197,-0.021749270056274694,-0.01481173112083347,0.005837745539317797,-0.006288812641227101,57.0,16.0,1.0,198.0,257.0,159.0,0.04586359331990161,0.00852291847960637
2005-04,-0.04957830359653043,-0.06148564324298579,-0.12567794229932794,0.003926515691397261,0.009101940639960622,0.06763780250308189,57.0,16.0,1.0,197.0,257.0,160.0,0.062046201585437055,0.06371128681168463
2005-05,0.08943614550668824,0.0996396694571128,0.12685594508889309,0.06933753278640066,0.10740265612817451,0.1612830045666924,57.0,16.0,1.0,196.0,256.0,160.0,-0.006167813024612938,0.09194547178029173
2005-06,0.06469960851845635,0.007365554328063793,0.08034449622307571,0.002795594793266733,0.012337296985051092,0.032516362838709796,57.0,16.0,1.0,195.0,256.0,160.0,-0.02846613553410116,0.029720768045443064
2005-07,0.04176059913669019,0.19538464075025463,0.10847547323092299,0.11070471519830144,0.1096647289278541,0.1514036032741031,57.0,16.0,1.0,195.0,257.0,160.0,-0.008387897880394644,0.04069888807580166
2005-08,0.03576818678244115,-0.005414466670521869,-0.013365172134336524,0.10171639653125067,0.12019350397909033,0.18899463817652692,57.0,16.0,1.0,195.0,257.0,159.0,0.09577809019921087,0.08727824164527626
2005-09,0.09004737801789534,0.07436509680822102,0.12950796117896335,0.037910412732643735,0.011022937119429758,0.014472373761815843,57.0,16.0,1.0,194.0,257.0,159.0,-0.05773956248702143,-0.02343803897082789
2005-10,-0.08623615869650973,-0.09909008604095915,-0.1494625901144224,-0.08357014678291975,-0.11909929045685996,-0.137341017444024,68.0,38.0,3.0,295.0,409.0,245.0,-0.00867159625115542,-0.05377087066110424
2005-11,0.12702998789120917,0.10298386300000414,0.13790588900098474,0.11652090611303183,0.1042744882350663,0.11049348594728198,68.0,38.0,3.0,293.0,408.0,245.0,-0.004609228271557596,-0.00602742016574985
2005-12,0.07216358032923278,0.05718707295817003,0.07049655967191203,0.0872362528158164,0.04609081881633835,0.02523801290204788,68.0,38.0,3.0,293.0,408.0,245.0,0.001988209172375969,-0.061998239913768516
2006-01,0.07490474482779828,0.06976304037504956,0.014391513818331494,0.071973572986994,0.05452904772208735,0.0526080811918838,68.0,38.0,3.0,293.0,405.0,245.0,-0.009082582246883245,-0.0193654917951102
2006-02,0.03272133922295198,-0.0008034201878255796,-0.05128311511797638,0.017167952779363484,0.005402265808727812,-0.0008085061780225851,68.0,38.0,3.0,293.0,405.0,245.0,-0.004673850223517552,-0.01797645895738607
2006-03,0.11249144057131369,0.06990534593308151,0.18587492389643842,0.1382141704509073,0.08279523810291335,0.06000512428222984,68.0,38.0,3.0,290.0,405.0,245.0,0.01930631102471273,-0.07820904616867747
2006-04,0.030312176335175335,0.07515321764415686,0.08502895880660763,0.10388450938359757,0.10965941352205938,0.08522340402808633,68.0,38.0,3.0,290.0,405.0,244.0,0.05403926446316237,-0.018661105355511243
2006-05,-0.14700161354162017,-0.1262149635073064,-0.18502538241046795,-0.11409180220388489,-0.13039848125441686,-0.10357187687876644,67.0,38.0,3.0,288.0,406.0,240.0,0.014363146795312413,0.010519925325118445
2006-06,0.01088693848184684,-0.036303199691047214,-0.00850158243816375,-0.11546964161493817,-0.1575912665698738,-0.15150549698198001,67.0,38.0,3.0,287.0,406.0,240.0,-0.12382232348780581,-0.03603585536704185
2006-07,0.01252853053945282,-0.01762280432398988,-0.06108827596453586,-0.02375705551781147,-0.029602396224785256,-0.027646310723696565,67.0,38.0,3.0,288.0,406.0,240.0,-0.024132588979029833,-0.003889255205885095
2006-08,0.07553201923065296,0.14292950563329349,0.10091469508593892,0.09408013959100317,0.1269432279161423,0.14526856221721232,67.0,38.0,3.0,288.0,404.0,240.0,0.0012809213215995083,0.05118842262620915
2006-09,0.049340440276975345,0.09052147793222419,-0.014062297882411944,0.11967459078008118,0.0675118491411029,0.07171391619010083,67.0,38.0,3.0,288.0,403.0,239.0,0.023662260855992275,-0.04796067458998035
2006-10,0.056706688923532804,0.028524609083541753,0.012157669321591206,0.0627516641076624,0.03803892138325923,0.0370557889977343,116.0,46.0,7.0,343.0,548.0,433.0,0.013485802386663392,-0.03512244735593485
2006-11,0.06874413175270289,0.03461208639693234,-0.05529837373667028,0.04756784503723894,0.015891379180410472,0.030532220574637788,116.0,46.0,7.0,343.0,548.0,432.0,0.015311200126440752,-0.07053906497598716
2006-12,0.010962350454430567,-0.004645210103753037,0.009569880860460882,0.04344994701927207,0.017641994853326043,0.09157103706414435,116.0,46.0,7.0,343.0,548.0,432.0,0.045591985908534687,0.023364310225451296
2007-01,0.02448312252447222,0.048043750639990064,0.12632686486867617,0.051042737090624936,0.05732175164659222,0.1085114653017373,116.0,46.0,7.0,341.0,549.0,430.0,0.006007405335272002,0.07965623527765817
2007-02,-0.08676163765017478,-0.0605995179208066,-0.13527237375539708,-0.09597324923578797,-0.08563496989939297,-0.09777859375127716,116.0,46.0,7.0,341.0,548.0,426.0,0.0010822388133067868,-0.025158040310355748
2007-03,0.017504937479983284,0.02658116291863074,-0.01355164530405807,-0.03142392417069701,-0.04497349355645822,-0.024602006829451482,116.0,46.0,7.0,341.0,547.0,426.0,-0.04384462655038756,-0.012117332721397912
2007-04,0.054708205922685674,0.09696377413799503,0.10632228503502,0.06433675787509033,0.07561173306178083,0.06817087199236845,116.0,46.0,7.0,340.0,546.0,426.0,-0.01662496738882037,0.027724096614806223
2007-05,0.0330516950024065,0.0872709248208939,0.09022947136681804,0.07779187445809632,0.05414841311043342,0.03979129320043733,116.0,46.0,7.0,339.0,545.0,424.0,-0.012940170140383787,0.009588597553376276
2007-06,0.008908946452202748,0.0056467981993218105,0.027401390332538068,0.04175115302612784,0.04134407076070073,0.06329715955523817,116.0,46.0,7.0,339.0,544.0,424.0,0.03481174945266804,0.020019225204722824
2007-07,0.039915402520421576,0.0638460575413454,0.011457923141525434,0.011109067180439134,0.04524535588609156,0.06872554369616099,116.0,46.0,7.0,338.0,540.0,425.0,0.0032868611864664277,0.014579498568412855
2007-08,-0.026250748032187743,0.00999675249057568,-0.029601794522136893,-0.031687673617210206,-0.021379676383416243,0.08174387027277286,116.0,46.0,7.0,337.0,541.0,425.0,0.024844103445298454,0.055040248700016954
2007-09,0.09750583385365393,0.19316953602384765,0.17413324020157572,0.07990565316664268,0.12936521527300088,0.2193225881093457,116.0,46.0,7.0,336.0,541.0,425.0,-0.012071717843362676,0.10802217064531242
2007-10,0.1686821008929372,0.15102359936481372,0.0658552618081735,0.06634725813312121,0.10581273572871741,0.07014438559646154,125.0,39.0,12.0,373.0,614.0,489.0,-0.04775219420254142,-0.04951485581071169
2007-11,-0.012930167449567338,0.07252035256879444,0.18655174298066135,0.03876756388851565,0.07775132669984108,0.15280960744671437,125.0,38.0,12.0,373.0,613.0,488.0,0.007728856645060886,0.1567619769942137
2007-12,0.06844178561288423,0.15941760221811926,0.12947107859665127,0.1825015598578966,0.2123888657179094,0.2878264448777402,125.0,38.0,12.0,373.0,612.0,488.0,0.10846213467529713,0.08317708900180532
2008-01,-0.16662314861368036,-0.2067468454490059,-0.2971668914292686,-0.21407291053706015,-0.21722816692544702,-0.2373660330397721,125.0,38.0,11.0,373.0,609.0,487.0,0.0006232583298918607,-0.0769184326591501
2008-02,-0.0024444956054577105,0.032038347983293414,0.030099582188057274,-0.014730239320226117,-0.01842464065980969,-0.040727511374471136,125.0,38.0,11.0,372.0,610.0,487.0,-0.04452527530679997,0.0032734028696349837
2008-03,-0.11342238457806002,-0.1448888452607783,-0.20738263131510168,-0.14749436147993913,-0.17371866412610254,-0.11313325156482833,125.0,38.0,11.0,367.0,608.0,485.0,0.010449194661023333,-0.029799568410965427
2008-04,0.1021854356342884,0.09173781700058485,0.1539547746552562,0.10836945135070626,0.11322264768159354,0.15945052718508257,125.0,38.0,11.0,366.0,606.0,484.0,0.011054866309084305,0.05142520742767205
2008-05,-0.05520198014100754,-0.06606476635019295,-0.08241002645315859,-0.05625964953426606,-0.05872970808737606,-0.06054211505297349,125.0,38.0,11.0,365.0,606.0,483.0,0.009381766756581159,-0.015745255915429242
2008-06,-0.17513628235634612,-0.22244740250039335,-0.22933614601372793,-0.16015348618738037,-0.17548801416624765,-0.200104562299116,125.0,38.0,11.0,364.0,606.0,484.0,0.030391256072574462,-0.04707546988455871
2008-07,0.06735741376146351,0.1341901264942407,0.13814593396543076,0.031938019689963425,0.027583875275330818,0.07091769431322346,124.0,38.0,11.0,365.0,606.0,483.0,-0.06975129498087242,0.05488409741361365
2008-08,0.014848781157776717,0.0005439194741728177,0.02933958400719856,0.026944111410754222,0.019559757085250134,-0.01494750505164425,123.0,38.0,11.0,365.0,605.0,484.0,-0.004391973731595996,-0.013700406806488315
2008-09,-0.12055997286387973,-0.07749772722105137,-0.10863601431257058,-0.1551484997081409,-0.18544854336461752,-0.18787551627587426,123.0,38.0,11.0,365.0,604.0,484.0,-0.073926281650377,-0.010401529008212104
2008-10,-0.2740677563177197,-0.26117339982719073,-0.2143681815127747,-0.33900436686587976,-0.31786433847012124,-0.3131058275757366,141.0,43.0,9.0,396.0,681.0,528.0,-0.07345506508468415,0.04279905704754408
2008-11,-0.06436664511688407,-0.016668489821863315,0.06546262903782606,-0.125257188504727,-0.1282665282245337,-0.09827869680000134,141.0,43.0,9.0,394.0,679.0,528.0,-0.11207663587611356,0.0784038829297179
2008-12,0.09657633731138003,0.17358965191497927,0.11584456397718877,0.12066336913760983,0.12560825469325773,0.10205710369600435,141.0,43.0,9.0,394.0,679.0,525.0,-0.012560608558892053,0.0003309806121016279
2009-01,-0.03205641386691132,-0.05959907106161847,-0.05435053452234525,-0.09033281122300352,-0.06995467318305712,-0.06203136059849251,141.0,43.0,9.0,394.0,678.0,524.0,-0.0254376085178927,0.003003664984538537
2009-02,-0.028293386579910523,-0.08845313887071533,-0.11236219675917739,-0.06603736463761356,-0.07314524309293835,-0.04810797232549946,141.0,43.0,9.0,391.0,678.0,524.0,0.013939380717917291,-0.03306970893357638
2009-03,0.09035274021499203,0.06521221439859012,0.014420528504288783,0.07277227803187772,0.07531141025686042,0.02467836808454331,141.0,43.0,9.0,391.0,677.0,524.0,0.000925524418470171,-0.06201306082901883
2009-04,0.15736243984044915,0.16447806332600012,0.1996173739955577,0.16978595303180408,0.2056661827317392,0.2020459925916325,141.0,43.0,9.0,392.0,677.0,524.0,0.018680083731056268,0.03725748685746849
2009-05,0.3185654282532077,0.40400484942484705,0.4092542710140839,0.45961467117473553,0.4626274201430045,0.43581330526285283,141.0,43.0,9.0,391.0,677.0,523.0,0.07541028262948474,0.033443738424496744
2009-06,-0.018546911190644885,-0.024807592025368152,-0.01667695182731663,-0.001341962313058164,-0.023105209797074183,-0.05703842565218762,141.0,43.0,9.0,392.0,677.0,523.0,-0.007151380906330099,-0.0269132519879006
2009-07,0.08053419464830888,0.06611123595553366,0.04737733141198912,0.08852980764602403,0.09677754359063251,0.06649209389885703,141.0,43.0,9.0,390.0,676.0,520.0,0.019258894373227305,-0.02759728849174338
2009-08,0.021357271787795503,0.016477536924048485,0.018986098916758457,0.0894891065049749,0.1205581709825691,0.17283167426508264,141.0,43.0,9.0,389.0,675.0,520.0,0.10868601470800805,0.040485697444535354
2009-09,0.06771086278161778,0.16201280524794162,0.14550248478803895,0.07029882056318029,0.09072600440908495,0.09342313879998701,141.0,43.0,9.0,388.0,675.0,520.0,-0.0402593963484487,0.050457970121613946
2009-10,-0.05999727735774331,-0.110423748180927,-0.10938673453220954,-0.042878899039203125,-0.0663284478493299,-0.07420737965337117,141.0,53.0,12.0,351.0,628.0,495.0,0.03213101117632522,-0.040358968894317136
2009-11,0.07619088072217504,0.06456088422879022,0.11627620771076173,0.06608150463004592,0.06883051056476738,0.07210427698243167,141.0,53.0,12.0,350.0,628.0,495.0,-0.01667056016149401,0.023054049670486222
2009-12,0.039148514700936575,0.04744239937865553,0.055541389307130984,0.07589750347761348,0.09246016584235325,0.1132925737656208,141.0,53.0,12.0,350.0,628.0,495.0,0.046505979899621484,0.026893972447100862
