Month,BA,BC,BN,SA,SC,SN,HML_ACC
2005-04,-0.061157677609324015,-0.04615054914918268,-0.041548410114805666,0.003340724311780419,0.01861748108999303,0.03623690422277694,0.015141942619176974
2005-05,0.09488876184039448,0.07957161528084397,0.08800496800174713,0.08832386655993311,0.10817784336509427,0.10260235851578542,0.0022684151228053173
2005-06,0.019499801289623662,0.07879459874497119,0.0666695858914095,0.014622366429871681,-0.01445516589933458,0.008627431777713883,0.015108632563070629
2005-07,0.04934315522648686,0.16179388324430066,0.01862221882819575,0.10722951485357357,0.10522848933527942,0.11037426244461908,0.055224851249759815
2005-08,0.055739859349360404,-0.003503955760069719,0.048989512492801465,0.13043457278336792,0.15023265992602639,0.131570596709108,-0.019722863983385838
2005-09,0.07914180456166582,0.10445936032188351,0.08500137185278711,0.004803259985785282,0.013411811921113605,0.014778712830279215,0.01696305384777301
2005-10,-0.06929344193566021,-0.10519203890399663,-0.10387000059785766,-0.10646136632907832,-0.12429373109022174,-0.1145997896013026,-0.026865480864739916
2005-11,0.10286793459568996,0.11155644832525465,0.14291370045181975,0.11623288796602115,0.10459496516867939,0.11923890407482499,-0.0014747045338885378
2005-12,0.07706909402199282,0.035843013333770726,0.07837821957035025,0.06011483835010798,0.04092322894864685,0.0673706680880215,-0.030208845044841615
2006-01,0.08014892186287982,0.046989051626789194,0.07438614992577888,0.03842879356912211,0.07553387891716434,0.04155335589170061,0.0019726075559758013
2006-02,0.03911536347322631,0.0367698733151203,0.022218793372559238,-0.004358576786119166,0.007745010193341553,-0.001969713332263838,0.004879048410677354
2006-03,0.11439719562750647,0.08898079525981344,0.10336337385014951,0.06553888023168852,0.07520123325053261,0.0733938727995786,-0.007877023674424471
2006-04,0.10030666557046901,0.04097382797186248,0.039174406277843625,0.061336943347531744,0.11175184805283893,0.08906955629691019,-0.00445896644664967
2006-05,-0.13762738024090426,-0.12040881378391766,-0.14888701521934394,-0.11212063700356838,-0.13506610568008895,-0.1503080408741649,-0.0028634511097669624
2006-06,0.013475754259566696,-0.04603426395384972,-0.043716301484007146,-0.13406233281105046,-0.1709555169190857,-0.15494667139365373,-0.048201601160725825
